index,stream,season,reach.original,reach,carbon,cr.area,cr.afdm,nrr
486,Eastgate,Autumn,Buried Up,Buried,Control,3.77484907,6.065702609,
487,Eastgate,Autumn,Buried Up,Buried,Control,15.42881274,14.06029633,
488,Eastgate,Autumn,Buried Up,Buried,Control,4.296540421,4.987687119,
489,Eastgate,Autumn,Buried Up,Buried,Control,3.323284571,1.294574106,
490,Eastgate,Autumn,Buried Up,Buried,Glucose,10.1367654,40.44857976,2.134359587
491,Eastgate,Autumn,Buried Up,Buried,Glucose,11.80987255,5.848904747,2.486642799
492,Eastgate,Autumn,Buried Up,Buried,Glucose,13.51590591,4.626229491,2.845858832
493,Eastgate,Autumn,Buried Up,Buried,Glucose,5.688646596,2.968636099,1.19778025
494,Eastgate,Autumn,Buried Up,Buried,Glucose,18.75342508,13.03201593,3.948651371
495,Eastgate,Autumn,Buried Up,Buried,Glucose,16.75680005,19.08913171,3.528249439
496,Eastgate,Autumn,Buried Up,Buried,Glucose,16.07926368,18.44803701,3.385589901
497,Eastgate,Autumn,Buried Up,Buried,Glucose,12.0003489,1.689629576,2.526748791
464,Eastgate,Autumn,Daylight,Open,Arabinose,8.04957895,11.7266325,2.547096877
465,Eastgate,Autumn,Daylight,Open,Arabinose,8.298951778,23.36403606,2.626004948
466,Eastgate,Autumn,Daylight,Open,Arabinose,6.053695404,23.69834614,1.91554723
467,Eastgate,Autumn,Daylight,Open,Arabinose,8.487069563,13.96591845,2.685530325
468,Eastgate,Autumn,Daylight,Open,Arabinose,19.66438765,9.497985853,6.222325501
469,Eastgate,Autumn,Daylight,Open,Arabinose,7.391735822,13.57236691,2.338938141
470,Eastgate,Autumn,Daylight,Open,Arabinose,9.313004678,36.04455,2.946877753
471,Eastgate,Autumn,Daylight,Open,Cellobiose,9.251626777,11.26140504,2.927456183
472,Eastgate,Autumn,Daylight,Open,Cellobiose,6.436384656,14.09439171,2.036640097
473,Eastgate,Autumn,Daylight,Open,Cellobiose,6.918238225,11.25135663,2.189111143
474,Eastgate,Autumn,Daylight,Open,Cellobiose,8.980029566,13.11151395,2.841515737
475,Eastgate,Autumn,Daylight,Open,Cellobiose,8.102632473,8.277447857,2.563884396
476,Eastgate,Autumn,Daylight,Open,Cellobiose,12.06425743,8.13627472,3.817445932
477,Eastgate,Autumn,Daylight,Open,Cellobiose,10.73813816,6.72341017,3.397827182
478,Eastgate,Autumn,Daylight,Open,Cellobiose,15.63212772,6.322014309,4.946413216
449,Eastgate,Autumn,Daylight,Open,Control,9.966465212,18.24435349,
450,Eastgate,Autumn,Daylight,Open,Control,2.798774154,26.99954883,
451,Eastgate,Autumn,Daylight,Open,Control,1.89639172,10.70321658,
452,Eastgate,Autumn,Daylight,Open,Control,1.561424156,3.136271033,
453,Eastgate,Autumn,Daylight,Open,Control,1.278316029,,
454,Eastgate,Autumn,Daylight,Open,Control,2.722053786,3.732770177,
455,Eastgate,Autumn,Daylight,Open,Control,1.898643861,11.56296876,
456,Eastgate,Autumn,Daylight,Open,Glucose,10.04708437,16.81086857,3.179159728
457,Eastgate,Autumn,Daylight,Open,Glucose,6.941899646,7.818165726,2.196598234
458,Eastgate,Autumn,Daylight,Open,Glucose,10.21739122,30.58991436,3.23304926
459,Eastgate,Autumn,Daylight,Open,Glucose,12.72637138,,4.026956069
460,Eastgate,Autumn,Daylight,Open,Glucose,13.77176818,6.353301695,4.357746902
461,Eastgate,Autumn,Daylight,Open,Glucose,8.242375024,7.331204739,2.608102587
462,Eastgate,Autumn,Daylight,Open,Glucose,12.74765213,7.888435902,4.033689852
463,Eastgate,Autumn,Daylight,Open,Glucose,10.0951473,3.993788552,3.194368093
267,Este,Autumn,Buried Down,Buried,Arabinose,10.5370407,20.764161,8.873048206
268,Este,Autumn,Buried Down,Buried,Arabinose,9.982856687,17.77159186,8.406380043
269,Este,Autumn,Buried Down,Buried,Arabinose,9.434385916,3.285012158,7.944522893
270,Este,Autumn,Buried Down,Buried,Arabinose,11.80012575,14.95013543,9.936668906
271,Este,Autumn,Buried Down,Buried,Arabinose,2.645998812,16.3825155,2.228146943
272,Este,Autumn,Buried Down,Buried,Arabinose,5.663251758,1.896703448,4.768920165
273,Este,Autumn,Buried Down,Buried,Arabinose,11.18241248,7.159751168,9.416503919
274,Este,Autumn,Buried Down,Buried,Arabinose,12.1252824,13.19817115,10.21047734
275,Este,Autumn,Buried Down,Buried,Cellobiose,0.723716694,2.471395853,0.60942852
276,Este,Autumn,Buried Down,Buried,Cellobiose,17.28030644,21.10020575,14.55142829
277,Este,Autumn,Buried Down,Buried,Cellobiose,22.44974659,8.683672254,18.90451878
278,Este,Autumn,Buried Down,Buried,Cellobiose,22.04370758,18.56736088,18.56260079
279,Este,Autumn,Buried Down,Buried,Cellobiose,9.112026239,6.184278486,7.673069737
280,Este,Autumn,Buried Down,Buried,Cellobiose,2.5243137,6.125057439,2.125678148
281,Este,Autumn,Buried Down,Buried,Cellobiose,9.511646139,14.52497143,8.009582306
282,Este,Autumn,Buried Down,Buried,Cellobiose,14.05041223,10.24069595,11.83159377
251,Este,Autumn,Buried Down,Buried,Control,2.495760301,5.754006383,
252,Este,Autumn,Buried Down,Buried,Control,2.126140246,24.10061211,
253,Este,Autumn,Buried Down,Buried,Control,1.096348286,8.991431331,
254,Este,Autumn,Buried Down,Buried,Control,1.10281045,11.77731007,
255,Este,Autumn,Buried Down,Buried,Control,0.995320759,,
256,Este,Autumn,Buried Down,Buried,Control,0,0,
257,Este,Autumn,Buried Down,Buried,Control,0.697456539,12.48903732,
258,Este,Autumn,Buried Down,Buried,Control,0.986430249,14.85900853,
259,Este,Autumn,Buried Down,Buried,Glucose,0.568163896,4.011016043,0.478440369
260,Este,Autumn,Buried Down,Buried,Glucose,3.898506518,6.227701824,3.28286065
261,Este,Autumn,Buried Down,Buried,Glucose,11.63994846,20.81078154,9.801786552
262,Este,Autumn,Buried Down,Buried,Glucose,9.376957477,7.772112108,7.89616346
263,Este,Autumn,Buried Down,Buried,Glucose,5.06174833,11.79581538,4.262405189
264,Este,Autumn,Buried Down,Buried,Glucose,7.843431807,59.22943288,6.604809693
265,Este,Autumn,Buried Down,Buried,Glucose,5.284228028,0.642204182,4.449751251
266,Este,Autumn,Buried Down,Buried,Glucose,6.429282867,8.993610427,5.413980876
328,Este,Autumn,Buried Up,Buried,Arabinose,17.11370756,2.716647172,7.406791809
329,Este,Autumn,Buried Up,Buried,Arabinose,13.62449821,18.25375129,5.896666246
330,Este,Autumn,Buried Up,Buried,Arabinose,12.79914094,6.596323172,5.539452622
331,Este,Autumn,Buried Up,Buried,Arabinose,16.79013117,21.15809348,7.266748338
332,Este,Autumn,Buried Up,Buried,Arabinose,16.04360643,15.590002,6.943653341
333,Este,Autumn,Buried Up,Buried,Arabinose,15.25622588,18.00471358,6.602875998
334,Este,Autumn,Buried Up,Buried,Cellobiose,18.08148263,25.36840862,7.82564368
335,Este,Autumn,Buried Up,Buried,Cellobiose,18.31050662,30.39533384,7.924764983
336,Este,Autumn,Buried Up,Buried,Cellobiose,15.67699966,27.63491002,6.784986375
337,Este,Autumn,Buried Up,Buried,Cellobiose,15.84723146,17.68565287,6.858662491
315,Este,Autumn,Buried Up,Buried,Control,1.589029031,19.10753103,
316,Este,Autumn,Buried Up,Buried,Control,3.52854216,11.23685393,
317,Este,Autumn,Buried Up,Buried,Control,0.287095255,30.36488253,
318,Este,Autumn,Buried Up,Buried,Control,2.173209889,5.724439819,
319,Este,Autumn,Buried Up,Buried,Control,1.409763231,13.7511,
320,Este,Autumn,Buried Up,Buried,Control,3.315448055,4.778876903,
321,Este,Autumn,Buried Up,Buried,Control,3.870710164,26.04851229,
322,Este,Autumn,Buried Up,Buried,Glucose,12.29803695,5.063978512,5.322575428
323,Este,Autumn,Buried Up,Buried,Glucose,17.43230272,12.29069182,7.544679405
324,Este,Autumn,Buried Up,Buried,Glucose,14.48765333,24.01311493,6.270238732
325,Este,Autumn,Buried Up,Buried,Glucose,20.88300707,21.40636353,9.038140048
